Date,Price,Open,High,Low,Vol.,Change %,Year
38543,2.668,2.683,2.683,2.582,2.39K,-0.0089,2018
43457,2.692,2.683,2.703,2.669,0.50K,0.0034,2018
43450,2.683,2.748,2.762,2.669,2.87K,-0.0311,2018
43443,2.769,2.749,2.785,2.735,2.16K,-0.0018,2018
43436,2.774,2.858,2.858,2.734,2.35K,-0.0089,2018
43429,2.799,2.796,2.82,2.756,1.55K,0.0011,2018
43422,2.796,2.801,2.814,2.762,3.61K,-0.0064,2018
43415,2.814,2.732,2.808,2.721,3.55K,0.0289,2018
43408,2.735,2.829,2.829,2.732,1.11K,-0.0427,2018
43401,2.857,2.812,2.864,2.736,1.35K,0.0211,2018
43394,2.798,2.838,2.875,2.773,2.00K,-0.0134,2018
43387,2.836,2.864,2.88,2.79,2.85K,-0.0039,2018
43380,2.847,2.817,2.869,2.793,3.11K,0.0081,2018
43373,2.824,2.855,2.91,2.811,2.82K,-0.0088,2018
43366,2.849,2.88,2.905,2.818,5.92K,-0.0169,2018
43359,2.898,2.717,2.905,2.717,6.73K,0.0678,2018
43352,2.714,2.704,2.747,2.688,1.28K,0.0071,2018
43345,2.695,2.696,2.709,2.681,0.50K,-0.0179,2018
43338,2.744,2.806,2.834,2.777,0.43K,-0.0189,2018
43331,2.797,2.76,2.793,2.745,0.42K,0.026,2018
43324,2.726,2.84,2.84,2.682,0.54K,-0.0415,2018
43317,2.844,2.835,2.861,2.835,0.25K,0.0212,2018
43310,2.785,2.829,2.862,2.731,85.38K,-0.0387,2018
43303,2.897,2.905,2.905,2.905,0.50K,0.0168,2018
43296,2.849,2.865,2.87,2.776,1.21K,-0.0101,2018
43289,2.878,2.958,2.967,2.847,0.77K,-0.0137,2018
43282,2.918,2.9,2.9,2.9,0.06K,-0.0433,2018
43275,3.05,3.107,3.107,3.054,0.31K,0.0056,2018
43268,3.033,3.136,3.136,3.029,2.00K,-0.0344,2018
43261,3.141,3.281,3.281,3.13,2.45K,-0.0754,2018
43254,3.397,3.37,3.37,3.37,0.64K,0.0573,2018
43247,3.213,3.141,3.183,3.141,0.10K,0.0059,2018
43240,3.194,3.19,3.19,3.19,1.44K,0.0469,2018
43233,3.051,3.075,3.086,3.022,3.49K,-0.0142,2018
43226,3.095,3.055,3.104,2.998,3.13K,-0.034,2018
43219,3.204,3.187,3.187,3.179,0.04K,0.0519,2018
43212,3.046,3.085,3.147,3.029,13.86K,-0.0271,2018
43205,3.131,3.068,3.164,3.068,1.69K,-0.0228,2018
43198,3.204,3.253,3.253,3.253,0.02K,0.0053,2018
43191,3.187,3.178,3.182,3.104,0.04K,0.0137,2018
43184,3.144,3.089,3.1,3.087,0.05K,0.0106,2018
43177,3.111,3.2,3.2,3.2,0.05K,-0.0342,2018
43170,3.221,3.266,3.266,3.266,0.00K,-0.0083,2018
43163,3.248,3.232,3.232,3.232,0.44K,0.0474,2018
43156,3.101,3.204,3.209,3.08,23.11K,-0.0334,2018
43149,3.208,3.224,3.233,3.179,1.20K,-0.0444,2018
43142,3.357,3.188,3.188,3.188,0.08K,0.0671,2018
43135,3.146,3.317,3.317,3.317,0.02K,-0.0094,2018
43128,3.176,3.16,3.211,3.15,3.04K,-0.0022,2018
43121,3.183,3.188,3.216,3.103,1.47K,0.0051,2018
43114,3.167,3.241,3.247,3.16,2.36K,-0.0103,2018
43107,3.2,3.205,3.227,3.193,2.55K,-0.0022,2018
43100,3.207,3.251,3.267,3.208,1.99K,-0.0223,2017
43093,3.28,3.221,3.296,3.221,2.77K,0.0202,2017
43086,3.215,3.096,3.219,3.09,3.85K,0.0338,2017
43079,3.11,2.95,3.115,2.94,3.44K,0.0207,2017
43072,3.047,3.005,3.005,2.977,0.01K,-0.0324,2017
43065,3.149,3.139,3.139,3.138,0.01K,-0.0054,2017
43058,3.166,3.051,3.174,3.051,1.32K,0.0073,2017
43051,3.143,3.14,3.141,3.14,0.12K,0.0238,2017
43044,3.07,3.149,3.153,3.063,1.35K,-0.0132,2017
43037,3.111,3.08,3.147,3.08,2.70K,0.0055,2017
43030,3.094,3.145,3.187,3.074,1.83K,-0.0181,2017
43023,3.151,3.138,3.228,3.132,2.14K,0.0103,2017
43016,3.119,3.01,3.116,3.01,2.52K,0.0348,2017
43009,3.014,2.954,3.03,2.928,2.90K,0.0259,2017
43002,2.938,2.927,2.97,2.89,4.21K,0.0044,2017
42995,2.925,2.961,2.966,2.875,4.16K,-0.001,2017
42988,2.928,3.026,3.061,2.91,5.45K,-0.0582,2017
42981,3.109,3.1,3.1,3.1,0.00K,0.0036,2017
42974,3.098,3.071,3.114,3.06,22.08K,0.0214,2017
42967,3.033,2.963,3.054,2.963,1.13K,0.0313,2017
42960,2.941,2.901,2.968,2.88,1.51K,-0.0157,2017
42953,2.988,2.997,2.997,2.997,0.00K,0.0357,2017
42946,2.885,2.893,2.9,2.868,2.02K,0.0052,2017
42939,2.87,2.72,2.893,2.72,3.29K,0.0571,2017
42932,2.715,2.696,2.735,2.696,2.10K,0.0115,2017
42925,2.684,2.642,2.688,2.623,3.19K,0.0174,2017
42918,2.638,2.686,2.7,2.632,3.69K,-0.0226,2017
42911,2.699,2.622,2.706,2.617,12.00K,0.029,2017
42904,2.623,2.587,2.635,2.54,1.52K,0.0238,2017
42897,2.562,2.622,2.625,2.555,2.05K,-0.0317,2017
42890,2.646,2.557,2.647,2.518,1.42K,0.0292,2017
42883,2.571,2.551,2.587,2.531,2.24K,0.0047,2017
42876,2.559,2.565,2.61,2.557,2.96K,-0.0058,2017
42869,2.574,2.534,2.576,2.488,3.09K,0.0222,2017
42862,2.518,2.535,2.535,2.47,2.40K,-0.0004,2017
42855,2.519,2.587,2.68,2.48,5.02K,-0.0297,2017
42848,2.596,2.535,2.602,2.535,22.96K,0.0233,2017
42841,2.537,2.586,2.599,2.521,1.44K,-0.0128,2017
42834,2.57,2.638,2.638,2.536,1.43K,-0.0284,2017
42827,2.645,2.642,2.687,2.59,2.09K,-0.0008,2017
42820,2.647,2.596,2.708,2.562,2.49K,0.0091,2017
42813,2.623,2.679,2.679,2.582,2.13K,-0.0209,2017
42806,2.679,2.59,2.683,2.588,1.78K,0.0356,2017
42799,2.587,2.689,2.689,2.55,4.93K,-0.0372,2017
42792,2.687,2.673,2.755,2.652,18.74K,0.0026,2017
42785,2.68,2.736,2.75,2.642,0.65K,-0.0092,2017
42778,2.705,2.756,2.76,2.682,2.88K,-0.0206,2017
42771,2.762,2.615,2.77,2.615,1.97K,0.0582,2017
42764,2.61,2.681,2.72,2.607,3.01K,-0.0261,2017
42757,2.68,2.639,2.708,2.635,2.15K,0.0241,2017
42750,2.617,2.675,2.675,2.593,1.69K,-0.0235,2017
42743,2.68,2.534,2.679,2.515,1.70K,0.0559,2017
42736,2.538,2.527,2.572,2.48,1.98K,0.016,2017
42729,2.498,2.45,2.522,2.45,1.77K,0.0101,2016
42722,2.473,2.546,2.553,2.455,2.09K,-0.0344,2016
42715,2.561,2.674,2.674,2.539,3.21K,-0.0307,2016
42708,2.642,2.61,2.701,2.61,3.65K,0.0103,2016
42701,2.615,2.663,2.722,2.54,19.89K,-0.0195,2016
42694,2.667,2.518,2.663,2.501,1.22K,0.0824,2016
42687,2.464,2.563,2.568,2.445,1.26K,-0.0168,2016
42680,2.506,2.289,2.718,2.281,1.47K,0.1084,2016
42673,2.261,2.189,2.262,2.189,1.66K,0.0334,2016
42666,2.188,2.089,2.193,2.088,1.56K,0.0504,2016
42659,2.083,2.099,2.108,2.08,1.27K,-0.0095,2016
42652,2.103,2.172,2.193,2.096,1.64K,-0.0246,2016
42645,2.156,2.187,2.187,2.14,1.82K,-0.0209,2016
42638,2.202,2.18,2.209,2.16,3.55K,0.0046,2016
42631,2.192,2.137,2.196,2.137,3.06K,0.0191,2016
42624,2.151,2.08,2.156,2.061,3.13K,0.0302,2016
42617,2.088,2.074,2.106,2.07,2.37K,0.0082,2016
42610,2.071,2.081,2.09,2.063,12.87K,-0.0019,2016
42603,2.075,2.163,2.163,2.075,1.42K,-0.0425,2016
42596,2.167,2.142,2.188,2.139,1.38K,0.0126,2016
42589,2.14,2.155,2.195,2.139,1.21K,-0.0321,2016
