Date,Price,Open,High,Low,Vol.,Change %,Year
30-Dec-18,"1,317.40","1,313.00","1,330.80","1,309.60",3.95K,0.0028,2018
23-Dec-18,"1,313.70","1,292.50","1,313.90","1,292.50",1.24K,0.0195,2018
16-Dec-18,"1,288.60","1,271.40","1,300.00","1,270.20",3.42K,0.0129,2018
9-Dec-18,"1,272.20","1,283.80","1,285.00","1,267.50",1.90K,-0.0089,2018
2-Dec-18,"1,283.60","1,260.60","1,286.60","1,260.30",1.77K,0.0216,2018
25-Nov-18,"1,256.50","1,260.10","1,264.10","1,247.70",2.83K,-0.0028,2018
18-Nov-18,"1,260.00","1,257.60","1,265.50","1,257.00",3.74K,0.0008,2018
11-Nov-18,"1,259.00","1,243.40","1,260.60","1,232.50",2.67K,0.0112,2018
4-Nov-18,"1,245.00","1,269.90","1,273.50","1,243.90",1.92K,-0.0196,2018
28-Oct-18,"1,269.90","1,272.20","1,273.90","1,250.00",2.84K,-0.0019,2018
21-Oct-18,"1,272.30","1,266.90","1,281.30","1,259.70",1.54K,0.0055,2018
14-Oct-18,"1,265.30","1,258.90","1,272.90","1,258.90",0.68K,0.0057,2018
7-Oct-18,"1,258.10","1,230.00","1,265.70","1,223.60",1.27K,0.0128,2018
30-Sep-18,"1,242.20","1,225.20","1,247.30","1,223.80",1.66K,0.0089,2018
23-Sep-18,"1,231.30","1,237.70","1,243.50","1,220.70",2.21K,-0.0045,2018
16-Sep-18,"1,236.90","1,236.70","1,250.30","1,231.90",0.58K,0.0002,2018
9-Sep-18,"1,236.60","1,233.70","1,252.50","1,230.00",1.17K,0.0009,2018
2-Sep-18,"1,235.50","1,241.00","1,246.50","1,230.30",1.23K,-0.0045,2018
26-Aug-18,"1,241.10","1,245.20","1,252.90","1,237.40",0.57K,-0.0057,2018
19-Aug-18,"1,248.20","1,227.90","1,249.20","1,227.30",0.30K,0.0237,2018
12-Aug-18,"1,219.30","1,251.50","1,251.50","1,208.60",0.61K,-0.0285,2018
5-Aug-18,"1,255.10","1,260.10","1,260.10","1,251.00",0.24K,-0.0037,2018
29-Jul-18,"1,259.70","1,268.30","1,272.00","1,249.50",0.28K,-0.0076,2018
22-Jul-18,"1,269.30","1,278.50","1,278.50","1,265.10",0.50K,-0.0064,2018
15-Jul-18,"1,277.50","1,289.90","1,292.40","1,262.90",1.09K,-0.0095,2018
8-Jul-18,"1,289.70","1,303.50","1,313.50","1,287.90",0.76K,-0.0116,2018
1-Jul-18,"1,304.80","1,300.00","1,307.90","1,288.50",0.37K,0.0007,2018
24-Jun-18,"1,303.90","1,320.20","1,320.20","1,299.50",0.30K,-0.0132,2018
17-Jun-18,"1,321.30","1,331.90","1,331.90","1,315.10",0.75K,-0.006,2018
10-Jun-18,"1,329.30","1,356.30","1,360.60","1,342.70",0.17K,-0.0185,2018
3-Jun-18,"1,354.40","1,349.50","1,356.60","1,349.50",1.22K,0.0026,2018
27-May-18,"1,350.90","1,361.50","1,362.40","1,353.00",1.77K,-0.0077,2018
20-May-18,"1,361.40","1,342.00","1,361.80","1,342.00",0.20K,0.009,2018
13-May-18,"1,349.20","1,366.30","1,366.30","1,344.40",0.08K,-0.0217,2018
6-May-18,"1,379.10","1,376.20","1,377.20","1,365.50",0.45K,0.0042,2018
29-Apr-18,"1,373.40","1,380.00","1,380.00","1,364.00",0.26K,-0.0064,2018
22-Apr-18,"1,382.30","1,395.10","1,395.10","1,378.80",0.04K,-0.0105,2018
15-Apr-18,"1,396.90","1,410.70","1,410.70","1,396.50",0.50K,-0.0069,2018
8-Apr-18,"1,406.60","1,398.80","1,398.80","1,398.80",0.11K,0.0085,2018
1-Apr-18,"1,394.80","1,392.00","1,394.20","1,392.00",0.06K,0.0071,2018
25-Mar-18,"1,384.90","1,420.30","1,420.50","1,384.10",0.17K,-0.0205,2018
18-Mar-18,"1,413.90","1,403.50","1,412.30","1,403.50",0.16K,0.0281,2018
11-Mar-18,"1,375.20","1,381.40","1,381.70","1,381.40",0.11K,-0.0084,2018
4-Mar-18,"1,386.90","1,399.90","1,399.90","1,381.50",0.00K,0.0008,2018
25-Feb-18,"1,385.80","1,385.80","1,385.80","1,365.80",0.49K,-0.0035,2018
18-Feb-18,"1,390.70","1,404.80","1,404.80","1,383.10",0.39K,-0.0172,2018
11-Feb-18,"1,415.00","1,389.20","1,412.00","1,389.10",0.04K,0.0311,2018
4-Feb-18,"1,372.30","1,405.20","1,405.20","1,372.70",0.37K,-0.0171,2018
28-Jan-18,"1,396.20","1,412.00","1,412.00","1,403.00",0.71K,-0.014,2018
21-Jan-18,"1,416.00","1,418.80","1,418.80","1,414.00",0.44K,0.0156,2018
14-Jan-18,"1,394.30","1,391.00","1,391.30","1,391.00",0.01K,-0.0001,2018
7-Jan-18,"1,394.40","1,368.10","1,368.10","1,368.10",0.22K,0.0116,2018
31-Dec-17,"1,378.40","1,372.00","1,377.80","1,362.70",0.05K,0.0116,2017
24-Dec-17,"1,362.60","1,337.00","1,346.40","1,337.00",0.14K,0.0241,2017
17-Dec-17,"1,330.50","1,311.90","1,329.10","1,311.90",0.06K,0.0171,2017
10-Dec-17,"1,308.10","1,298.60","1,312.10","1,289.40",0.09K,0.0072,2017
3-Dec-17,"1,298.80","1,320.90","1,320.90","1,298.10",0.38K,-0.026,2017
26-Nov-17,"1,333.50","1,348.00","1,348.00","1,342.00",0.09K,-0.0066,2017
19-Nov-17,"1,342.30","1,343.90","1,348.60","1,334.40",0.27K,-0.0058,2017
12-Nov-17,"1,350.10","1,335.70","1,335.70","1,335.70",0.03K,0.0173,2017
5-Nov-17,"1,327.10","1,329.60","1,329.60","1,329.60",0.05K,0.0055,2017
29-Oct-17,"1,319.80","1,319.80","1,319.80","1,319.80",0.07K,-0.0017,2017
22-Oct-17,"1,322.00","1,327.80","1,332.30","1,317.30",0.04K,-0.0063,2017
15-Oct-17,"1,330.40","1,330.40","1,330.40","1,330.40",0.07K,-0.0179,2017
8-Oct-17,"1,354.70","1,342.40","1,346.40","1,342.20",0.18K,0.023,2017
1-Oct-17,"1,324.30","1,324.30","1,324.30","1,324.30",0.07K,-0.0067,2017
24-Sep-17,"1,333.20","1,336.50","1,340.10","1,333.70",0.03K,-0.0088,2017
17-Sep-17,"1,345.10","1,342.00","1,342.00","1,342.00",0.05K,-0.0197,2017
10-Sep-17,"1,372.20","1,372.20","1,372.20","1,372.20",0.96K,-0.0173,2017
3-Sep-17,"1,396.40","1,387.50","1,397.80","1,387.50",0.00K,0.0162,2017
27-Aug-17,"1,374.20","1,368.70","1,371.00","1,368.30",0.00K,0.0241,2017
20-Aug-17,"1,341.90","1,341.90","1,341.90","1,341.90",1.20K,0.0046,2017
13-Aug-17,"1,335.70","1,323.40","1,336.20","1,318.50",0.01K,-0.0018,2017
6-Aug-17,"1,338.10","1,306.00","1,335.00","1,305.20",0.02K,0.0227,2017
30-Jul-17,"1,308.40","1,318.60","1,322.00","1,318.60",0.00K,-0.0081,2017
23-Jul-17,"1,319.10","1,301.50","1,313.70","1,301.00",0.05K,0.0119,2017
16-Jul-17,"1,303.60","1,303.80","1,303.80","1,303.80",0.00K,0.0212,2017
9-Jul-17,"1,276.50","1,268.40","1,280.40","1,264.00",0.01K,0.013,2017
2-Jul-17,"1,260.10","1,287.20","1,287.60","1,268.90",0.04K,-0.0245,2017
25-Jun-17,"1,291.70","1,291.70","1,291.70","1,291.70",0.90K,-0.0105,2017
18-Jun-17,"1,305.40","1,295.00","1,297.90","1,295.00",0.01K,-0.0003,2017
11-Jun-17,"1,305.80","1,322.50","1,322.50","1,322.50",0.01K,-0.0115,2017
4-Jun-17,"1,321.00","1,321.00","1,321.00","1,321.00",0.00K,-0.0069,2017
28-May-17,"1,330.20","1,321.90","1,321.90","1,321.90",0.00K,0.0063,2017
21-May-17,"1,321.90","1,310.10","1,322.10","1,310.10",0.00K,0.0114,2017
14-May-17,"1,307.00","1,288.00","1,312.20","1,288.00",0.03K,0.0189,2017
7-May-17,"1,282.80","1,279.80","1,279.80","1,271.60",0.20K,-0.0001,2017
30-Apr-17,"1,282.90","1,311.80","1,315.10","1,305.80",0.01K,-0.0312,2017
23-Apr-17,"1,324.20","1,335.00","1,335.00","1,335.00",0.01K,-0.0148,2017
16-Apr-17,"1,344.10","1,338.50","1,338.50","1,338.50",0.05K,0.0002,2017
9-Apr-17,"1,343.80","1,313.20","1,332.00","1,313.20",0.01K,0.0228,2017
2-Apr-17,"1,313.90","1,313.90","1,313.90","1,313.90",0.02K,0.0049,2017
26-Mar-17,"1,307.50","1,315.00","1,315.00","1,313.90",0.03K,-0.0005,2017
19-Mar-17,"1,308.10","1,295.70","1,300.00","1,295.70",0.09K,0.013,2017
12-Mar-17,"1,291.30","1,266.80","1,266.80","1,266.80",0.03K,0.0235,2017
5-Mar-17,"1,261.70","1,285.40","1,285.40","1,269.50",0.16K,-0.0193,2017
26-Feb-17,"1,286.50","1,286.50","1,286.50","1,286.50",0.03K,-0.0225,2017
19-Feb-17,"1,316.10","1,314.50","1,314.50","1,314.50",0.08K,0.0146,2017
12-Feb-17,"1,297.10","1,297.10","1,297.10","1,297.10",0.04K,0.0038,2017
5-Feb-17,"1,292.20","1,294.00","1,298.50","1,289.00",0.02K,0.0096,2017
29-Jan-17,"1,279.90","1,259.00","1,274.00","1,259.00",0.01K,0.0244,2017
22-Jan-17,"1,249.40","1,246.00","1,246.00","1,246.00",0.00K,-0.0138,2017
15-Jan-17,"1,266.90","1,274.40","1,274.40","1,262.40",0.01K,0.0063,2017
8-Jan-17,"1,259.00","1,241.60","1,241.60","1,241.60",1.51K,0.0208,2017
1-Jan-17,"1,233.40","1,209.00","1,234.00","1,209.00",0.72K,0.0175,2017
25-Dec-16,"1,212.20","1,218.40","1,219.00","1,218.40",0.01K,0.0148,2016
18-Dec-16,"1,194.50","1,194.00","1,194.00","1,194.00",0.00K,-0.0034,2016
11-Dec-16,"1,198.60","1,219.20","1,219.20","1,190.00",0.58K,-0.015,2016
4-Dec-16,"1,216.80","1,216.80","1,216.80","1,216.80",1.88K,-0.0085,2016
27-Nov-16,"1,227.20","1,240.00","1,240.00","1,225.40",0.01K,-0.0025,2016
20-Nov-16,"1,230.30","1,271.30","1,271.30","1,271.30",0.00K,-0.0245,2016
13-Nov-16,"1,261.20","1,261.20","1,261.20","1,261.20",0.17K,-0.0062,2016
6-Nov-16,"1,269.10","1,319.00","1,319.00","1,267.10",0.03K,-0.0614,2016
30-Oct-16,"1,352.10","1,352.10","1,352.10","1,352.10",0.21K,0.0222,2016
23-Oct-16,"1,322.70","1,318.00","1,318.60","1,318.00",0.34K,0.0081,2016
16-Oct-16,"1,312.10","1,312.10","1,312.10","1,312.10",0.91K,0.0099,2016
9-Oct-16,"1,299.30","1,298.70","1,298.70","1,295.90",0.00K,0.0046,2016
2-Oct-16,"1,293.40","1,293.40","1,293.40","1,293.40",2.72K,-0.0485,2016
25-Sep-16,"1,359.30","1,359.30","1,359.30","1,359.30",7.15K,-0.0176,2016
18-Sep-16,"1,383.70","1,369.50","1,389.40","1,366.80",0.11K,0.0223,2016
11-Sep-16,"1,353.50","1,363.10","1,363.10","1,354.00",0.11K,-0.0188,2016
4-Sep-16,"1,379.50","1,379.50","1,379.50","1,379.50",0.03K,0.0057,2016
28-Aug-16,"1,371.70","1,371.70","1,371.70","1,371.70",0.69K,0.0018,2016
21-Aug-16,"1,369.30","1,369.30","1,369.30","1,369.30",1.13K,-0.0178,2016
14-Aug-16,"1,394.10","1,394.10","1,394.10","1,394.10",0.87K,0.0009,2016
7-Aug-16,"1,392.90","1,392.90","1,392.90","1,392.90",2.10K,-0.0008,2016
31-Jul-16,"1,394.00","1,402.90","1,414.20","1,402.90",0.43K,-0.0056,2016
24-Jul-16,"1,401.80","1,401.80","1,401.80","1,401.80",0.03K,0.0213,2016
17-Jul-16,"1,372.50","1,372.50","1,372.50","1,372.50",0.44K,-0.0011,2016
10-Jul-16,"1,374.00","1,407.70","1,407.70","1,386.10",0.13K,-0.0203,2016
3-Jul-16,"1,402.50","1,394.50","1,409.00","1,393.80",0.09K,0.014,2016
26-Jun-16,"1,383.20","1,383.20","1,383.20","1,383.20",0.00K,0.0128,2016
19-Jun-16,"1,365.70","1,322.40","1,363.00","1,322.40",0.03K,0.0238,2016
12-Jun-16,"1,333.90","1,326.30","1,326.50","1,326.30",0.09K,0.0128,2016
5-Jun-16,"1,317.00","1,317.00","1,317.00","1,317.00",0.01K,0.0258,2016
29-May-16,"1,283.90","1,283.90","1,283.90","1,283.90",0.04K,0.0215,2016
22-May-16,"1,256.90","1,256.90","1,256.90","1,256.90",63.82K,-0.0296,2016
15-May-16,"1,295.20","1,315.40","1,315.40","1,315.40",0.05K,-0.0104,2016
8-May-16,"1,308.80","1,295.00","1,295.00","1,295.00",0.02K,-0.0155,2016
1-May-16,"1,329.40","1,316.80","1,316.80","1,316.80",0.36K,0.0013,2016
24-Apr-16,"1,327.70","1,335.00","1,335.00","1,335.00",0.00K,0.0492,2016
17-Apr-16,"1,265.50","1,290.00","1,290.60","1,281.30",0.30K,-0.0007,2016
10-Apr-16,"1,266.40","1,266.40","1,266.40","1,266.40",1.19K,-0.006,2016
3-Apr-16,"1,274.00","1,274.00","1,274.00","1,274.00",0.06K,0.0147,2016
27-Mar-16,"1,255.60","1,254.00","1,254.00","1,254.00",0.12K,-0.0028,2016
20-Mar-16,"1,259.10","1,288.60","1,288.60","1,264.00",0.01K,-0.023,2016
13-Mar-16,"1,288.70","1,279.40","1,282.50","1,279.00",0.14K,-0.0051,2016
6-Mar-16,"1,295.30","1,294.10","1,294.10","1,284.00",0.00K,-0.0054,2016
28-Feb-16,"1,302.30","1,302.30","1,302.30","1,302.30",0.00K,0.0456,2016
21-Feb-16,"1,245.50","1,236.00","1,236.00","1,236.00",0.00K,-0.0069,2016
14-Feb-16,"1,254.10","1,231.00","1,231.00","1,224.20",0.01K,-0.003,2016
7-Feb-16,"1,257.90","1,259.00","1,259.00","1,259.00",0.23K,0.0621,2016
31-Jan-16,"1,184.30","1,183.60","1,183.60","1,183.60",0.00K,0.0332,2016
24-Jan-16,"1,146.20","1,146.20","1,146.20","1,146.20",0.01K,0.0173,2016
17-Jan-16,"1,126.70","1,126.70","1,126.70","1,126.70",0.07K,0.0045,2016
10-Jan-16,"1,121.60","1,121.60","1,121.60","1,121.60",0.25K,-0.0117,2016
3-Jan-16,"1,134.90","1,134.90","1,134.90","1,134.90",0.25K,0.0285,2016
27-Dec-15,"1,103.40","1,103.40","1,103.40","1,103.40",0.00K,-0.0133,2015
20-Dec-15,"1,118.30","1,118.30","1,118.30","1,118.30",0.25K,0.0114,2015
13-Dec-15,"1,105.70","1,105.70","1,105.70","1,105.70",0.01K,-0.0094,2015
6-Dec-15,"1,116.20","1,116.20","1,116.20","1,116.20",1.98K,-0.008,2015
29-Nov-15,"1,125.20","1,125.20","1,125.20","1,125.20",0.02K,0.0262,2015
22-Nov-15,"1,096.50","1,096.50","1,096.50","1,096.50",0.01K,-0.0169,2015
15-Nov-15,"1,115.40","1,123.40","1,123.40","1,106.80",0.01K,-0.0067,2015
8-Nov-15,"1,122.90","1,135.00","1,135.00","1,135.00",0.01K,-0.0058,2015
1-Nov-15,"1,129.50","1,129.50","1,129.50","1,129.50",0.00K,-0.0402,2015
25-Oct-15,"1,176.80","1,176.80","1,176.80","1,176.80",0.01K,-0.0194,2015
18-Oct-15,"1,200.10","1,206.50","1,207.20","1,206.50",0.04K,-0.0182,2015
11-Oct-15,"1,222.30","1,219.00","1,219.50","1,219.00",0.02K,0.0207,2015
4-Oct-15,"1,197.50","1,173.00","1,186.00","1,171.00",0.07K,0.0157,2015
27-Sep-15,"1,179.00","1,169.00","1,172.00","1,168.00",0.14K,-0.0114,2015
20-Sep-15,"1,192.60","1,192.60","1,192.60","1,192.60",0.20K,0.0051,2015
13-Sep-15,"1,186.50","1,186.50","1,186.50","1,186.50",0.00K,0.0291,2015
6-Sep-15,"1,152.90","1,152.90","1,152.90","1,152.90",0.25K,-0.0159,2015
30-Aug-15,"1,171.50","1,171.50","1,171.50","1,171.50",0.94K,-0.015,2015
23-Aug-15,"1,189.40","1,189.40","1,189.40","1,189.40",0.01K,-0.0233,2015
