Date,Price,Open,High,Low,Vol.,Change %,Year
30-Dec-18,3.044,3.125,3.14,2.878,546.91K,-0.0784,2018
23-Dec-18,3.303,3.758,3.846,3.278,228.95K,-0.1344,2018
16-Dec-18,3.816,3.62,3.938,3.516,679.47K,-0.0029,2018
9-Dec-18,3.827,4.59,4.666,3.787,920.61K,-0.1473,2018
2-Dec-18,4.488,4.527,4.63,4.231,770.27K,-0.0269,2018
25-Nov-18,4.612,4.068,4.806,3.99,508.21K,0.0706,2018
18-Nov-18,4.308,4.625,4.864,4.117,822.28K,0.0084,2018
11-Nov-18,4.272,3.745,4.929,3.735,1.68M,0.1487,2018
4-Nov-18,3.719,3.471,3.824,3.437,1.11M,0.1325,2018
28-Oct-18,3.284,3.139,3.318,3.1,654.59K,0.0311,2018
21-Oct-18,3.185,3.227,3.25,3.102,592.74K,-0.02,2018
14-Oct-18,3.25,3.224,3.34,3.155,774.91K,0.0282,2018
7-Oct-18,3.161,3.182,3.368,3.138,1.20M,0.0057,2018
30-Sep-18,3.143,3.007,3.261,3.001,1.09M,0.0449,2018
23-Sep-18,3.008,2.973,3.111,2.951,573.47K,0.0104,2018
16-Sep-18,2.977,2.774,2.991,2.772,872.51K,0.0759,2018
9-Sep-18,2.767,2.77,2.869,2.752,747.83K,-0.0032,2018
2-Sep-18,2.776,2.9,2.904,2.759,609.19K,-0.048,2018
26-Aug-18,2.916,2.908,2.931,2.841,349.81K,-0.0003,2018
19-Aug-18,2.917,2.94,2.993,2.903,540.33K,-0.0098,2018
12-Aug-18,2.946,2.936,2.974,2.891,587.93K,0.0007,2018
5-Aug-18,2.944,2.851,2.959,2.822,767.03K,0.0319,2018
29-Jul-18,2.853,2.794,2.862,2.74,724.08K,0.011,2018
22-Jul-18,2.822,2.737,2.831,2.71,285.13K,0.0236,2018
15-Jul-18,2.757,2.765,2.788,2.704,557.39K,0.0018,2018
8-Jul-18,2.752,2.839,2.865,2.75,614.05K,-0.0371,2018
1-Jul-18,2.858,2.92,2.927,2.822,522.07K,-0.0226,2018
24-Jun-18,2.924,2.926,3.021,2.897,377.74K,-0.0071,2018
17-Jun-18,2.945,3.051,3.053,2.887,686.53K,-0.0255,2018
10-Jun-18,3.022,2.927,3.034,2.912,824.28K,0.0457,2018
3-Jun-18,2.89,2.974,2.987,2.873,700.04K,-0.0243,2018
27-May-18,2.962,2.946,2.988,2.838,397.98K,0.0078,2018
20-May-18,2.939,2.826,2.964,2.806,563.37K,0.0323,2018
13-May-18,2.847,2.825,2.87,2.78,637.38K,0.0146,2018
6-May-18,2.806,2.71,2.82,2.695,793.36K,0.035,2018
29-Apr-18,2.711,2.763,2.82,2.7,696.87K,-0.0217,2018
22-Apr-18,2.771,2.745,2.839,2.706,370.60K,0.0117,2018
15-Apr-18,2.739,2.753,2.79,2.658,735.77K,0.0015,2018
8-Apr-18,2.735,2.679,2.76,2.621,966.86K,0.0126,2018
1-Apr-18,2.701,2.73,2.759,2.65,712.99K,-0.0117,2018
25-Mar-18,2.733,2.588,2.764,2.565,307.79K,0.0548,2018
18-Mar-18,2.591,2.683,2.71,2.579,537.68K,-0.0361,2018
11-Mar-18,2.688,2.731,2.811,2.664,682.91K,-0.0161,2018
4-Mar-18,2.732,2.717,2.793,2.673,674.65K,0.0137,2018
25-Feb-18,2.695,2.635,2.731,2.586,614.12K,0.0267,2018
18-Feb-18,2.625,2.568,2.68,2.555,400.49K,0.0262,2018
11-Feb-18,2.558,2.554,2.642,2.53,850.84K,-0.0101,2018
4-Feb-18,2.584,2.825,2.88,2.576,1.03M,-0.0921,2018
28-Jan-18,2.846,3.39,3.661,2.837,1.16M,-0.188,2018
21-Jan-18,3.505,3.252,3.628,3.143,866.69K,0.1005,2018
14-Jan-18,3.185,3.131,3.288,3.039,1.13M,-0.0047,2018
7-Jan-18,3.2,2.812,3.224,2.784,1.59M,0.1449,2018
31-Dec-17,2.795,3.03,3.097,2.746,1.14M,-0.0535,2017
24-Dec-17,2.953,2.708,3.008,2.598,686.35K,0.1072,2017
17-Dec-17,2.667,2.65,2.778,2.568,880.13K,0.0211,2017
10-Dec-17,2.612,2.831,2.848,2.581,1.16M,-0.0577,2017
3-Dec-17,2.772,3.091,3.127,2.747,1.28M,-0.0944,2017
26-Nov-17,3.061,2.927,3.218,2.876,830.64K,0.0882,2017
19-Nov-17,2.813,3.07,3.089,2.797,528.04K,-0.0917,2017
12-Nov-17,3.097,3.2,3.231,3.046,999.45K,-0.0361,2017
5-Nov-17,3.213,3.085,3.224,3.051,1.15M,0.0767,2017
29-Oct-17,2.984,2.938,3.006,2.847,837.10K,0.0843,2017
22-Oct-17,2.752,3.001,3.017,2.723,407.58K,-0.0559,2017
15-Oct-17,2.915,2.96,3.026,2.773,1.11M,-0.0283,2017
8-Oct-17,3,2.859,3.036,2.827,1.09M,0.0479,2017
1-Oct-17,2.863,3.018,3.025,2.856,970.30K,-0.0479,2017
24-Sep-17,3.007,2.932,3.081,2.898,454.36K,0.0162,2017
17-Sep-17,2.959,3.049,3.166,2.942,920.66K,-0.0215,2017
10-Sep-17,3.024,2.91,3.106,2.899,952.47K,0.0464,2017
3-Sep-17,2.89,3.013,3.059,2.885,659.72K,-0.0586,2017
27-Aug-17,3.07,2.924,3.088,2.849,572.78K,0.0615,2017
20-Aug-17,2.892,2.894,3.006,2.867,586.45K,-0.0003,2017
13-Aug-17,2.893,3.005,3.018,2.856,611.26K,-0.0302,2017
6-Aug-17,2.983,2.772,2.997,2.764,863.13K,0.0753,2017
30-Jul-17,2.774,2.9,2.9,2.753,664.98K,-0.0568,2017
23-Jul-17,2.941,2.914,2.998,2.88,318.61K,-0.0098,2017
16-Jul-17,2.97,2.982,3.114,2.938,685.57K,-0.0034,2017
9-Jul-17,2.98,2.898,3.053,2.87,872.50K,0.0405,2017
2-Jul-17,2.864,2.949,3.05,2.832,686.11K,-0.0563,2017
25-Jun-17,3.035,2.99,3.122,2.974,431.25K,0.0362,2017
18-Jun-17,2.929,2.966,2.971,2.855,660.93K,-0.0356,2017
11-Jun-17,3.037,3.032,3.087,2.916,868.38K,-0.0007,2017
4-Jun-17,3.039,3.026,3.095,2.935,812.17K,0.0133,2017
28-May-17,2.999,3.25,3.255,2.988,807.23K,-0.0732,2017
21-May-17,3.236,3.291,3.334,3.145,362.02K,-0.0061,2017
14-May-17,3.256,3.387,3.408,3.161,789.88K,-0.0491,2017
7-May-17,3.424,3.243,3.431,3.14,940.29K,0.0484,2017
30-Apr-17,3.266,3.249,3.313,3.165,650.53K,-0.0031,2017
23-Apr-17,3.276,3.094,3.298,3.022,400.70K,0.0564,2017
16-Apr-17,3.101,3.229,3.249,3.082,685.48K,-0.039,2017
9-Apr-17,3.227,3.24,3.293,3.132,699.41K,-0.0104,2017
2-Apr-17,3.261,3.217,3.347,3.121,859.48K,0.0223,2017
26-Mar-17,3.19,3.119,3.242,3.011,368.86K,0.0371,2017
19-Mar-17,3.076,2.913,3.113,2.902,647.49K,0.0434,2017
12-Mar-17,2.948,3.083,3.089,2.882,694.59K,-0.0199,2017
5-Mar-17,3.008,2.911,3.043,2.815,924.68K,0.064,2017
26-Feb-17,2.827,2.715,2.84,2.653,794.56K,0.0761,2017
19-Feb-17,2.627,2.791,2.826,2.522,342.57K,-0.073,2017
12-Feb-17,2.834,2.978,2.994,2.83,697.01K,-0.0659,2017
5-Feb-17,3.034,3.015,3.189,3.005,811.18K,-0.0095,2017
29-Jan-17,3.063,3.3,3.342,3.042,798.82K,-0.0967,2017
22-Jan-17,3.391,3.18,3.494,3.145,334.62K,0.0584,2017
15-Jan-17,3.204,3.473,3.513,3.189,550.91K,-0.0629,2017
8-Jan-17,3.419,3.253,3.45,3.098,844.83K,0.0408,2017
1-Jan-17,3.285,3.568,3.568,3.172,774.17K,-0.1179,2017
25-Dec-16,3.724,3.736,3.994,3.664,306.42K,0.0169,2016
18-Dec-16,3.662,3.353,3.715,3.242,631.53K,0.0723,2016
11-Dec-16,3.415,3.583,3.601,3.343,860.33K,-0.0884,2016
4-Dec-16,3.746,3.471,3.777,3.45,1.11M,0.0902,2016
27-Nov-16,3.436,3.13,3.568,3.13,724.99K,0.1138,2016
20-Nov-16,3.085,2.898,3.121,2.891,327.01K,0.0851,2016
13-Nov-16,2.843,2.667,2.852,2.644,689.77K,0.0855,2016
6-Nov-16,2.619,2.848,2.875,2.546,910.89K,-0.0535,2016
30-Oct-16,2.767,3.15,3.163,2.725,868.53K,-0.1089,2016
23-Oct-16,3.105,3.007,3.125,2.627,516.00K,0.0374,2016
16-Oct-16,2.993,3.26,3.317,2.955,734.68K,-0.0889,2016
9-Oct-16,3.285,3.194,3.366,3.154,998.11K,0.0288,2016
2-Oct-16,3.193,2.905,3.218,2.866,928.92K,0.0988,2016
25-Sep-16,2.906,2.949,3.032,2.892,398.20K,-0.0166,2016
18-Sep-16,2.955,2.956,3.098,2.89,634.31K,0.0024,2016
11-Sep-16,2.948,2.82,2.978,2.82,781.87K,0.054,2016
