Date,Price,Open,High,Low,Vol.,Change %,Year
30-Dec-18,16.052,15.71,16.14,15.7,1.50K,0.0229,2018
23-Dec-18,15.693,15.035,15.69,15.035,0.52K,0.0489,2018
16-Dec-18,14.962,14.92,15.13,14.915,0.45K,0.0048,2018
9-Dec-18,14.891,14.88,15.125,14.845,3.11K,-0.0046,2018
2-Dec-18,14.96,14.73,14.965,14.695,1.29K,0.0326,2018
25-Nov-18,14.488,14.64,14.735,14.39,1.02K,-0.0107,2018
18-Nov-18,14.644,14.755,14.9,14.66,0.35K,-0.0094,2018
11-Nov-18,14.783,14.485,14.78,14.36,0.37K,0.0171,2018
4-Nov-18,14.535,15.05,15.05,14.495,0.17K,-0.0396,2018
28-Oct-18,15.134,14.795,14.86,14.645,0.07K,0.0044,2018
21-Oct-18,15.067,15.05,15.05,15.05,0.01K,0.0035,2018
14-Oct-18,15.015,15.08,15.08,15.04,0.02K,0.0013,2018
7-Oct-18,14.996,14.835,14.975,14.715,0.29K,-0.0015,2018
30-Sep-18,15.018,15.27,15.27,15.01,0.37K,-0.0024,2018
23-Sep-18,15.054,14.615,14.76,14.59,0.02K,0.0248,2018
16-Sep-18,14.69,14.75,14.75,14.75,0.01K,0.0144,2018
9-Sep-18,14.482,14.335,14.475,14.325,0.00K,-0.001,2018
2-Sep-18,14.496,14.8,14.8,14.48,0.02K,-0.0269,2018
26-Aug-18,14.897,15.4,15.4,15.37,0.10K,-0.0121,2018
19-Aug-18,15.079,14.985,15.105,14.825,0.88K,0.0118,2018
12-Aug-18,14.903,15.49,15.53,14.705,0.44K,-0.0438,2018
5-Aug-18,15.585,15.635,15.8,15.58,0.67K,-0.0203,2018
29-Jul-18,15.908,15.87,15.885,15.865,0.02K,-0.0022,2018
22-Jul-18,15.943,16.095,16.105,16,0.09K,0.0062,2018
15-Jul-18,15.844,16.15,16.15,15.585,0.42K,-0.0286,2018
8-Jul-18,16.31,16.595,16.595,16.595,0.15K,-0.0045,2018
1-Jul-18,16.384,16.22,16.385,16.135,0.24K,-0.0081,2018
24-Jun-18,16.518,16.815,16.815,16.33,0.05K,-0.0207,2018
