Date,Price,Open,High,Low,Vol.,Change %,Year
30-Dec-18,383,375.5,383.5,372.75,475.48K,0.02,2018
23-Dec-18,375.5,378.25,379.25,372.5,337.40K,-0.0079,2018
16-Dec-18,378.5,384.25,386.5,374.75,680.97K,0.0046,2018
9-Dec-18,376.75,374.25,379,372.75,4.25K,0.0074,2018
2-Dec-18,374,372.75,376,369.25,17.14K,0.0205,2018
25-Nov-18,366.5,359.5,366.75,355.25,1.01M,0.0209,2018
18-Nov-18,359,364.75,366.25,358.75,684.51K,-0.0158,2018
11-Nov-18,364.75,369,372.5,363.25,839.76K,-0.0135,2018
4-Nov-18,369.75,371,379,366,1.28M,-0.004,2018
28-Oct-18,371.25,368,373,362.5,990.69K,0.0095,2018
21-Oct-18,367.75,365.5,372.5,360.5,874.28K,0.002,2018
14-Oct-18,367,373,378.5,366,822.89K,-0.0181,2018
7-Oct-18,373.75,368.5,374,360.25,781.56K,0.0149,2018
30-Sep-18,368.25,356.75,369.5,356.5,895.44K,0.0337,2018
23-Sep-18,356.25,357.25,366.75,354.5,825.27K,-0.0028,2018
16-Sep-18,357.25,351,357.75,342.5,918.34K,0.0601,2018
9-Sep-18,337,353.25,357.25,337,2.15K,-0.0487,2018
2-Sep-18,354.25,351.5,356,347.25,11.24K,0.0093,2018
26-Aug-18,351,348.5,352,340.25,535.40K,0.0072,2018
19-Aug-18,348.5,365.25,366,346.25,558.78K,-0.0432,2018
12-Aug-18,364.25,357.5,367.75,352.25,544.25K,0.0182,2018
5-Aug-18,357.75,370,373.75,357,702.05K,-0.0325,2018
29-Jul-18,369.75,364,374.25,363.5,628.39K,0.0214,2018
22-Jul-18,362,356,365.75,351.5,582.47K,0.019,2018
15-Jul-18,355.25,340,355.75,338.75,428.29K,0.0757,2018
8-Jul-18,330.25,346,348.5,329.75,8.33K,-0.0611,2018
1-Jul-18,351.75,352.25,352.25,337,17.09K,0.0043,2018
24-Jun-18,350.25,358.5,359.5,344.5,756.99K,-0.0196,2018
17-Jun-18,357.25,359.5,362,338.75,1.02M,-0.0111,2018
10-Jun-18,361.25,376.5,379.75,355.25,1.49M,-0.0437,2018
3-Jun-18,377.75,389.75,389.75,373.5,1.18M,-0.0351,2018
27-May-18,391.5,408.75,410,390.75,903.63K,-0.0357,2018
20-May-18,406,405.5,412.25,401,877.02K,0.0087,2018
13-May-18,402.5,388.5,404.75,387.5,692.56K,0.0327,2018
6-May-18,389.75,397.25,399.75,389.75,6.00K,-0.0226,2018
29-Apr-18,398.75,390.75,400,390.5,33.42K,0.0237,2018
22-Apr-18,389.5,376.5,390.5,376.25,712.73K,0.0345,2018
15-Apr-18,376.5,385,386.25,376.25,828.03K,-0.0252,2018
8-Apr-18,386.25,389.75,392.5,385,1.08M,-0.0058,2018
1-Apr-18,388.5,389.25,392.5,372,1.36M,0.0019,2018
25-Mar-18,387.75,378.5,389.25,372,869.32K,0.0278,2018
18-Mar-18,377.25,382,382,369.25,1.04M,-0.0144,2018
11-Mar-18,382.75,382.75,390.75,380.5,337.12K,-0.0007,2018
4-Mar-18,383,376.25,385.75,374.75,20.11K,0.0152,2018
25-Feb-18,377.25,366.5,380.25,366.5,594.38K,0.03,2018
18-Feb-18,366.25,369,370,364.25,1.03M,-0.0034,2018
11-Feb-18,367.5,365,368.75,364.25,1.07M,0.0152,2018
4-Feb-18,362,359.5,367.75,356.25,1.57M,0.0014,2018
28-Jan-18,361.5,356.75,362.5,356.75,1.04M,0.014,2018
21-Jan-18,356.5,353.5,358,349.5,1.07M,0.0113,2018
14-Jan-18,352.5,347.25,354,346,748.75K,0.0181,2018
7-Jan-18,346.25,350.75,351.5,345.5,946.40K,-0.0142,2018
31-Dec-17,351.25,351.25,354.75,350.25,612.62K,0.0014,2017
24-Dec-17,350.75,352,354.25,350,362.28K,-0.0036,2017
17-Dec-17,352,347.25,352.5,346.5,467.84K,0.0129,2017
10-Dec-17,347.5,340,350.75,335.25,136.05K,0.0221,2017
3-Dec-17,340,344.75,346,337.5,26.60K,-0.0138,2017
26-Nov-17,344.75,342.5,345.25,335.5,735.59K,0.0073,2017
19-Nov-17,342.25,342.5,347,339.75,894.69K,-0.0022,2017
12-Nov-17,343,343.5,344,336.25,1.27M,-0.0015,2017
5-Nov-17,343.5,348.5,350.25,340.75,1.55M,-0.0136,2017
29-Oct-17,348.25,348.5,352,345.25,873.89K,-0.0014,2017
22-Oct-17,348.75,344.25,355.25,343,992.18K,0.0123,2017
15-Oct-17,344.5,352.75,353.25,344.25,734.28K,-0.0234,2017
8-Oct-17,352.75,350.5,354,342.5,878.49K,0.0079,2017
1-Oct-17,350,354.75,356.25,346,800.61K,-0.0148,2017
24-Sep-17,355.25,352.75,358,348.5,848.54K,0.005,2017
17-Sep-17,353.5,353.25,356.25,346.5,617.23K,-0.0035,2017
10-Sep-17,354.75,345.25,355.5,336,119.18K,0.0305,2017
3-Sep-17,344.25,343.25,347.25,341.25,10.03K,0.0125,2017
27-Aug-17,340,338.75,345.5,328.5,426.22K,0.0037,2017
20-Aug-17,338.75,350.5,351,338,536.47K,-0.0376,2017
13-Aug-17,352,358.75,363,349.25,584.99K,-0.0243,2017
6-Aug-17,360.75,368.75,375.5,356.5,965.88K,-0.0157,2017
30-Jul-17,366.5,371,372.25,361.25,541.99K,-0.0207,2017
23-Jul-17,374.25,375.5,383.75,366,498.73K,-0.0145,2017
16-Jul-17,379.75,375.75,393.25,370.5,694.54K,0.0397,2017
9-Jul-17,365.25,387.75,394.5,360,4.65K,-0.0445,2017
2-Jul-17,382.25,373.25,386.75,373,26.09K,0.0317,2017
25-Jun-17,370.5,358.5,372.5,356.25,834.56K,0.0356,2017
18-Jun-17,357.75,378.25,381.5,356.5,1.03M,-0.0684,2017
11-Jun-17,384,386,387.25,370,1.29M,-0.0097,2017
4-Jun-17,387.75,373.75,391.75,371.25,1.64M,0.0402,2017
28-May-17,372.75,373.5,376.5,366.25,780.49K,-0.004,2017
21-May-17,374.25,372.75,377.5,368.75,698.59K,0.0047,2017
14-May-17,372.5,370.5,373,364.25,769.20K,0.0297,2017
7-May-17,361.75,360.5,365,356.25,5.16K,0,2017
30-Apr-17,361.75,363,370.5,357.5,24.26K,0.0105,2017
23-Apr-17,358,358,368.25,355.5,720.13K,0.0028,2017
16-Apr-17,357,371,372,354.25,893.68K,-0.0377,2017
9-Apr-17,371,360,373,359,981.68K,0.032,2017
2-Apr-17,359.5,365.75,371.75,357.25,902.61K,-0.013,2017
26-Mar-17,364.25,356.75,366.75,354.25,820.59K,0.0225,2017
19-Mar-17,356.25,369,370.75,355.25,675.83K,-0.0306,2017
12-Mar-17,367.5,358,367.75,353,315.55K,0.0265,2017
5-Mar-17,358,375.5,377,356,19.02K,-0.0447,2017
26-Feb-17,374.75,364.25,378.75,359.5,297.19K,0.0295,2017
19-Feb-17,364,368.5,372.75,362.5,754.12K,-0.0115,2017
12-Feb-17,368.25,373.5,380,368,1.05M,-0.0167,2017
5-Feb-17,374.5,364,375.5,362.5,1.10M,0.0253,2017
29-Jan-17,365.25,361.5,369.75,355.75,861.71K,0.0076,2017
22-Jan-17,362.5,369.5,371,360.5,735.74K,-0.0196,2017
15-Jan-17,369.75,359,370,358.5,895.47K,0.0314,2017
8-Jan-17,358.5,359,360.75,352,953.56K,0.0014,2017
1-Jan-17,358,352,362.75,351.5,706.86K,0.017,2017
25-Dec-16,352,346.5,356,346.25,459.62K,0.0181,2016
18-Dec-16,345.75,356,356.75,345.5,479.91K,-0.0295,2016
11-Dec-16,356.25,352.25,363,349.75,253.10K,0.0106,2016
4-Dec-16,352.5,337.5,354,337.5,12.71K,0.0444,2016
27-Nov-16,337.5,349.25,353,331,451.90K,-0.0336,2016
20-Nov-16,349.25,345.25,351.75,344.75,733.44K,0.0109,2016
13-Nov-16,345.5,340.5,346.75,335.5,881.41K,0.0154,2016
6-Nov-16,340.25,348,356.5,339,1.35M,-0.0244,2016
30-Oct-16,348.75,355,358,344.25,873.69K,-0.0176,2016
23-Oct-16,355,351.5,358.5,346.25,771.48K,0.0071,2016
16-Oct-16,352.5,353,359.25,349.25,748.77K,-0.0049,2016
9-Oct-16,354.25,339.5,358.75,336.5,971.78K,0.0427,2016
2-Oct-16,339.75,336.25,349.25,335.25,887.58K,0.0089,2016
25-Sep-16,336.75,334,337.5,325,793.83K,0.0007,2016
18-Sep-16,336.5,337.25,342.25,332.25,641.86K,-0.0015,2016
11-Sep-16,337,329.25,338.25,317.5,298.26K,0.0212,2016
4-Sep-16,330,316,330.5,312.25,7.28K,0.0427,2016
28-Aug-16,316.5,316.25,318.75,301,300.72K,0.0008,2016
21-Aug-16,316.25,333.75,334.5,315.75,432.98K,-0.0539,2016
14-Aug-16,334.25,321.25,334.75,321,416.03K,0.0372,2016
7-Aug-16,322.25,324.25,328,312,691.10K,-0.0062,2016
31-Jul-16,324.25,332.5,333.75,319.5,517.96K,-0.0306,2016
24-Jul-16,334.5,335,338.5,328.75,459.92K,-0.0015,2016
17-Jul-16,335,352.25,357.5,326.75,478.99K,-0.049,2016
10-Jul-16,352.25,354.25,374.5,339.75,107.08K,0.0071,2016
3-Jul-16,349.75,348,350.5,333,12.79K,-0.0092,2016
26-Jun-16,353,384.25,398.25,351.75,388.81K,-0.0819,2016
19-Jun-16,384.5,435.5,435.75,373.5,1.05M,-0.1216,2016
12-Jun-16,437.75,427.5,439,420.5,1.10M,0.0349,2016
5-Jun-16,423,419.75,439.25,419.25,1.39M,0.0114,2016
29-May-16,418.25,412.5,419.5,401,825.63K,0.0133,2016
22-May-16,412.75,394,413.5,391,885.78K,0.0463,2016
15-May-16,394.5,390.25,400.5,385.5,946.62K,0.0327,2016
8-May-16,382,379.5,386,367,4.04K,0.016,2016
1-May-16,376,388.75,393.5,368.5,27.95K,-0.0365,2016
24-Apr-16,390.25,371.25,392,368.5,417.60K,0.0498,2016
17-Apr-16,371.75,375.25,402,370.5,1.09M,-0.0178,2016
10-Apr-16,378.5,362,380.5,356,1.58M,0.0449,2016
3-Apr-16,362.25,353.75,362.75,350.75,1.08M,0.0233,2016
27-Mar-16,354,369.5,374,347.25,1.31M,-0.0432,2016
20-Mar-16,370,366.5,371.75,365.75,530.48K,0.0082,2016
13-Mar-16,367,366,372,364.25,509.23K,0.0027,2016
6-Mar-16,366,357.5,366.25,354.25,6.70K,0.0324,2016
28-Feb-16,354.5,355,357.75,351.75,42.97K,0,2016
21-Feb-16,354.5,366.5,369.25,352.5,784.84K,-0.0301,2016
14-Feb-16,365.5,359.75,368,359,816.92K,0.0188,2016
7-Feb-16,358.75,366,367,358.25,1.04M,-0.0191,2016
31-Jan-16,365.75,371,373.75,365.5,918.18K,-0.0168,2016
24-Jan-16,372,370,373,365,899.08K,0.0047,2016
17-Jan-16,370.25,364,372,364,829.92K,0.0193,2016
10-Jan-16,363.25,357,363.75,349.5,1.03M,0.0175,2016
3-Jan-16,357,359.5,360,348.5,805.16K,-0.0049,2016
27-Dec-15,358.75,363.75,365.5,357,403.61K,-0.0158,2015
20-Dec-15,364.5,374,377,363.5,406.94K,-0.0267,2015
13-Dec-15,374.5,373.5,381.75,362.5,713.38K,0.004,2015
6-Dec-15,373,375.75,379.25,367.25,15.07K,-0.0086,2015
29-Nov-15,376.25,359.75,376.5,359.25,65.64K,0.0473,2015
22-Nov-15,359.25,362.5,367.5,358.75,561.28K,-0.011,2015
15-Nov-15,363.25,358.25,366.5,357.25,944.83K,0.014,2015
8-Nov-15,358.25,372.75,375.5,356,1.43M,-0.0395,2015
1-Nov-15,373,381.25,383.5,370,1.12M,-0.0242,2015
25-Oct-15,382.25,380,387.5,375.5,857.99K,0.0066,2015
18-Oct-15,379.75,377.25,383.5,372,809.28K,0.008,2015
11-Oct-15,376.75,381.5,386.75,372.5,685.86K,-0.0157,2015
4-Oct-15,382.75,389.25,399.75,381.5,844.27K,-0.0167,2015
27-Sep-15,389.25,388.75,394.5,383.5,842.01K,0.0006,2015
20-Sep-15,389,376.5,389.5,375,622.74K,0.0311,2015
13-Sep-15,377.25,377.5,395,375,498.29K,0.0073,2015
6-Sep-15,374.5,354.25,374.75,351,13.15K,0.0715,2015
30-Aug-15,349.5,362.25,365.25,346.75,64.20K,-0.0379,2015
23-Aug-15,363.25,365,375,354,600.19K,-0.0055,2015
16-Aug-15,365.25,363.5,372.5,361.25,487.27K,0.0034,2015
9-Aug-15,364,374,391.5,346.5,836.11K,-0.0235,2015
2-Aug-15,372.75,370,375,365,522.70K,0.0047,2015
26-Jul-15,371,389,389.25,365.75,593.16K,-0.0548,2015
19-Jul-15,392.5,418.5,418.5,392,505.69K,-0.066,2015
12-Jul-15,420.25,427,438.75,418.25,410.00K,-0.0164,2015
5-Jul-15,427.25,417.75,431,407.75,30.12K,0.0179,2015
28-Jun-15,419.75,383.75,422,381.75,207.53K,0.0903,2015
21-Jun-15,385,352.75,390,350.5,961.25K,0.0899,2015
14-Jun-15,353.25,353,361.25,346.75,1.06M,0.0007,2015
7-Jun-15,353,360.5,368.5,352.25,1.23M,-0.0208,2015
31-May-15,360.5,350.5,367.25,348.25,899.91K,0.0256,2015
24-May-15,351.5,361,362.5,348.25,658.03K,-0.0236,2015
17-May-15,360,365.25,371.25,358.5,810.32K,-0.015,2015
10-May-15,365.5,359,371.5,352.75,172.87K,0.0195,2015
3-May-15,358.5,359,369,354,15.08K,-0.0035,2015
26-Apr-15,359.75,363.75,367.75,357.5,360.57K,-0.013,2015
19-Apr-15,364.5,379.5,381.75,363.75,791.09K,-0.0402,2015
12-Apr-15,379.75,375,380.75,370,853.08K,0.0073,2015
5-Apr-15,377,386.25,390,374.25,792.66K,-0.0246,2015
29-Mar-15,386.5,391.5,398.5,374,924.01K,-0.0115,2015
22-Mar-15,391,385,397,385,739.24K,0.0156,2015
15-Mar-15,385,380.75,387.5,367,830.91K,0.0294,2015
8-Mar-15,374,379.25,387.75,375.25,9.33K,-0.0138,2015
1-Mar-15,379.25,383,385.5,375.75,52.51K,-0.0137,2015
22-Feb-15,384.5,385.25,387.25,371.5,596.80K,-0.0019,2015
15-Feb-15,385.25,387,391.25,382.25,634.35K,-0.0052,2015
8-Feb-15,387.25,385.25,391.75,381.25,942.51K,0.0039,2015
1-Feb-15,385.75,369.75,389.5,367.5,910.74K,0.0426,2015
25-Jan-15,370,385.75,388.25,365.75,766.63K,-0.0433,2015
18-Jan-15,386.75,385.25,392.5,382,562.10K,-0.0006,2015
11-Jan-15,387,399,407,376,1.09M,-0.0331,2015
4-Jan-15,400.25,395.75,409.5,392.75,683.92K,0.0114,2015
28-Dec-14,395.75,414,417,391.5,390.12K,-0.0458,2014
21-Dec-14,414.75,409.75,415.75,405.75,302.55K,0.0104,2014
14-Dec-14,410.5,407.5,414,403.5,698.25K,0.036,2014
7-Dec-14,396.25,380.5,398.5,374.75,26.59K,0.0387,2014
30-Nov-14,381.5,374,382.5,364.25,53.43K,0.0153,2014
23-Nov-14,375.75,372.25,380.25,365.5,505.83K,0.008,2014
16-Nov-14,372.75,381.5,384.25,362.5,937.06K,-0.0236,2014
9-Nov-14,381.75,366,389,364.75,1.33M,0.0388,2014
2-Nov-14,367.5,374.5,375.25,359,931.46K,-0.0246,2014
26-Oct-14,376.75,351.75,381,348.5,1.01M,0.0673,2014
19-Oct-14,353,345.25,365,342,782.03K,0.0144,2014
12-Oct-14,348,333.5,358.25,330.5,785.70K,0.0419,2014
5-Oct-14,334,323.25,348.5,323.25,889.80K,0.0333,2014
28-Sep-14,323.25,322.25,326.5,318.25,615.93K,0.0008,2014
21-Sep-14,323,331,331.5,322.75,583.84K,-0.0256,2014
14-Sep-14,331.5,337,350.5,331.5,539.43K,-0.0221,2014
7-Sep-14,339,345,348,329,5.84K,-0.0216,2014
31-Aug-14,346.5,357.5,360.75,333.25,31.19K,-0.0348,2014
24-Aug-14,359,363.5,364.25,352.5,340.05K,-0.0178,2014
17-Aug-14,365.5,365.5,370,356.25,460.36K,-0.0007,2014
10-Aug-14,365.75,351,368,347.75,612.91K,0.0398,2014
3-Aug-14,351.75,351.5,364,351.25,473.59K,-0.0021,2014
27-Jul-14,352.5,363,369.25,351.5,360.36K,-0.0289,2014
20-Jul-14,363,369,369,356.5,353.67K,-0.0222,2014
13-Jul-14,371.25,397.75,408.75,370,355.73K,-0.0713,2014
6-Jul-14,399.75,412.25,413.25,394,14.53K,-0.0414,2014
29-Jun-14,417,443,443.75,416,52.13K,-0.0587,2014
22-Jun-14,443,453,457.75,439.5,591.14K,-0.0226,2014
15-Jun-14,453.25,444.25,453.75,435.5,563.74K,0.014,2014
8-Jun-14,447,457,457.5,439.25,772.04K,-0.0261,2014
1-Jun-14,459,465,470.5,447,649.62K,-0.0145,2014
25-May-14,465.75,474.5,475,465,463.87K,-0.0256,2014
18-May-14,478,481.75,482.5,472.5,525.97K,-0.0114,2014
11-May-14,483.5,503,505.5,480.25,236.14K,-0.0426,2014
4-May-14,505,494,519.5,493.25,13.95K,0.0223,2014
27-Apr-14,494,506.25,516,492,250.57K,-0.0256,2014
20-Apr-14,507,494,510.75,485.5,587.39K,0.0248,2014
13-Apr-14,494.75,498.25,507,493,450.30K,-0.0075,2014
6-Apr-14,498.5,500.25,519,494,854.36K,-0.0065,2014
30-Mar-14,501.75,490.25,512.5,475,825.16K,0.0198,2014
23-Mar-14,492,479,496.25,478.5,525.22K,0.0271,2014
16-Mar-14,479,484.5,491.75,476,478.73K,0.0143,2014
9-Mar-14,472.25,479,486.25,468.25,5.36K,-0.0182,2014
2-Mar-14,481,459,495,457.25,49.88K,0.0514,2014
23-Feb-14,457.5,451.5,459,445.5,556.29K,0.0099,2014
16-Feb-14,453,445,456.5,444.5,721.55K,0.0174,2014
9-Feb-14,445.25,442.75,449,437.25,1.04M,0.0023,2014
