Date,Price,Open,High,Low,Vol.,Change %,Year
30-Dec-18,28.41,27.62,28.45,27.52,11.24K,0.0323,2018
23-Dec-18,27.52,27.9,27.97,27.27,103.09K,-0.0133,2018
16-Dec-18,27.89,28.48,28.82,27.8,280.96K,-0.0176,2018
9-Dec-18,28.39,28.59,28.9,28.47,1.03K,-0.0039,2018
2-Dec-18,28.5,28.19,28.71,28.07,7.19K,0.0244,2018
25-Nov-18,27.82,27.68,27.88,26.95,210.86K,0.0061,2018
18-Nov-18,27.65,27.42,27.87,27.17,235.18K,0.0102,2018
11-Nov-18,27.37,27.65,27.85,27.29,265.34K,-0.0091,2018
4-Nov-18,27.62,28.22,28.29,27.61,324.25K,-0.0206,2018
28-Oct-18,28.2,28.22,28.56,27.75,269.36K,0.0014,2018
21-Oct-18,28.16,29.14,29.32,28.1,240.42K,-0.0336,2018
14-Oct-18,29.14,29.4,29.88,28.96,242.14K,0.0034,2018
7-Oct-18,29.04,29.1,29.34,28.47,0.74K,-0.0014,2018
30-Sep-18,29.08,28.7,29.66,28.52,5.23K,0.0139,2018
23-Sep-18,28.68,28.1,29.11,27.89,151.54K,0.021,2018
16-Sep-18,28.09,27.51,28.24,26.88,89.03K,0.0241,2018
9-Sep-18,27.43,27.9,28.03,27.48,2.01K,-0.0183,2018
2-Sep-18,27.94,28.4,28.58,27.86,5.79K,-0.0152,2018
26-Aug-18,28.37,28.12,28.57,27.91,103.10K,0.0078,2018
19-Aug-18,28.15,28.4,28.76,27.96,86.96K,-0.0028,2018
12-Aug-18,28.23,27.94,28.4,27.74,40.00K,0.0086,2018
5-Aug-18,27.99,28.37,28.72,27.97,3.69K,-0.0127,2018
29-Jul-18,28.35,28.54,28.81,27.96,56.41K,-0.0074,2018
22-Jul-18,28.56,28.24,28.69,27.86,123.65K,0.012,2018
15-Jul-18,28.22,27.95,28.27,27.57,102.05K,0.0151,2018
8-Jul-18,27.8,28.86,28.86,27.59,6.08K,-0.0381,2018
1-Jul-18,28.9,29.1,29.13,28.36,15.09K,-0.0076,2018
