Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
1995-01-03,1995,1,3,Tuesday,01,1995-01,3834.4,3845.2,3827.71,3838.48,24440000,3838.48,0.0,3838.48,3838.48
1995-01-04,1995,1,4,Wednesday,01,1995-01,3838.5,3857.99,3831.07,3857.65,27220000,3857.65,0.004994144029027536,3848.065,3848.065
1995-01-05,1995,1,5,Thursday,01,1995-01,3857.6,3860.68,3843.19,3850.92,25810000,3850.92,-0.0017445804153096711,3849.0166666666664,3849.0166666666664
1995-01-06,1995,1,6,Friday,01,1995-01,3850.9,3887.26,3841.84,3867.41,30240000,3867.41,0.0042820911805265816,3853.615,3853.615
1995-01-09,1995,1,9,Monday,02,1995-02,3867.4,3874.48,3853.28,3861.35,20820000,3861.35,-0.001566892207146453,3855.1619999999994,3855.1619999999994
1995-01-10,1995,1,10,Tuesday,02,1995-02,3861.4,3898.7,3861.35,3866.74,28250000,3866.74,0.0013958570038485885,3857.091666666666,3857.091666666666
1995-01-11,1995,1,11,Wednesday,02,1995-02,3866.7,3882.89,3840.16,3862.03,28100000,3862.03,-0.0012180702476491945,3857.7971428571423,3857.7971428571423
1995-01-12,1995,1,12,Thursday,02,1995-02,3862.0,3864.05,3851.26,3859.0,23740000,3859.0,-0.0007845690670164052,3857.9474999999993,3857.9474999999993
1995-01-13,1995,1,13,Friday,02,1995-02,3859.0,3910.14,3859.0,3908.46,30580000,3908.46,0.012816781792562848,3863.5599999999995,3863.5599999999995
1995-01-16,1995,1,16,Monday,03,1995-03,3908.5,3936.72,3907.45,3932.34,29250000,3932.34,0.006109855849053325,3870.437999999999,3870.437999999999
1995-01-17,1995,1,17,Tuesday,03,1995-03,3932.3,3934.7,3916.19,3930.66,26880000,3930.66,-0.00042727122875863,3875.912727272727,3875.912727272727
1995-01-18,1995,1,18,Wednesday,03,1995-03,3930.7,3931.33,3906.1,3928.98,22990000,3928.98,-0.0004273917556310014,3880.3349999999996,3880.3349999999996
1995-01-19,1995,1,19,Thursday,03,1995-03,3928.3,3928.31,3878.51,3882.21,24460000,3882.21,-0.011903857938637352,3880.4792307692305,3880.4792307692305
1995-01-20,1995,1,20,Friday,03,1995-03,3882.2,3882.55,3847.22,3869.43,31750000,3869.43,-0.0032919469646068844,3879.6899999999996,3879.6899999999996
1995-01-23,1995,1,23,Monday,04,1995-04,3869.4,3871.11,3838.48,3867.41,31630000,3867.41,-0.000522045770807722,3881.756428571428,3878.871333333333
1995-01-24,1995,1,24,Tuesday,04,1995-04,3867.4,3876.49,3862.36,3862.7,26470000,3862.7,-0.0012178592506453256,3882.117142857142,3877.8606249999993
1995-01-25,1995,1,25,Wednesday,04,1995-04,3862.7,3891.3,3845.88,3871.45,32340000,3871.45,0.0022652549021688895,3883.5835714285704,3877.483529411764
1995-01-26,1995,1,26,Thursday,04,1995-04,3871.4,3879.52,3853.28,3870.44,29440000,3870.44,-0.0002608866906104179,3883.799999999999,3877.0922222222216
1995-01-27,1995,1,27,Friday,04,1995-04,3870.4,3887.26,3848.23,3857.99,47930000,3857.99,-0.003216675974915595,3883.5599999999986,3876.086842105263
1995-01-30,1995,1,30,Monday,05,1995-05,3858.0,3859.0,3817.26,3832.08,34450000,3832.08,-0.00671590962520896,3881.0842857142848,3873.8864999999996
1995-01-31,1995,1,31,Tuesday,05,1995-05,3832.1,3851.93,3828.05,3843.86,38970000,3843.86,0.0030740561409767775,3879.7864285714277,3872.4566666666665
1995-02-01,1995,2,1,Wednesday,05,1995-05,3843.9,3868.08,3831.41,3847.56,37880000,3847.56,0.0009625613493922103,3878.9692857142845,3871.325
1995-02-02,1995,2,2,Thursday,05,1995-05,3847.6,3871.11,3843.86,3870.77,25280000,3870.77,0.006032384312145922,3876.277142857142,3871.3008695652175
1995-02-03,1995,2,3,Friday,05,1995-05,3872.12,3944.46,3872.12,3928.64,43270000,3928.64,0.014950480848739067,3876.0128571428554,3873.69
1995-02-06,1995,2,6,Monday,06,1995-06,3928.6,3948.83,3920.57,3937.73,29340000,3937.73,0.002313800230913987,3876.517857142856,3876.2515999999996
1995-02-07,1995,2,7,Tuesday,06,1995-06,3937.7,3942.1,3924.94,3937.39,25000000,3937.39,-8.636648330684338e-05,3877.1185714285702,3878.6030769230765
1995-02-08,1995,2,8,Wednesday,06,1995-06,3937.4,3953.54,3930.66,3935.37,27290000,3935.37,-0.0005129731740389776,3880.9157142857134,3880.7055555555553
1995-02-09,1995,2,9,Thursday,06,1995-06,3935.4,3948.83,3928.31,3932.68,26870000,3932.68,-0.0006835914962930456,3885.4335714285703,3882.561785714285
1995-02-10,1995,2,10,Friday,06,1995-06,3932.7,3945.13,3923.93,3939.07,24550000,3939.07,0.001624880953910779,3890.5521428571415,3884.510344827586
1995-02-13,1995,2,13,Monday,07,1995-07,3939.1,3956.9,3935.03,3954.21,19380000,3954.21,0.0038435194894694824,3897.08857142857,3886.8336666666664
