Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
1995-01-03,1995,1,3,Tuesday,01,1995-01,459.21,459.27,457.2,459.11,262450000,459.11,0.0,459.11,459.11
1995-01-04,1995,1,4,Wednesday,01,1995-01,459.13,460.72,457.56,460.71,319510000,460.71,0.0034850169993372315,459.90999999999997,459.90999999999997
1995-01-05,1995,1,5,Thursday,01,1995-01,460.73,461.3,459.75,460.34,309050000,460.34,-0.0008030976624121555,460.0533333333333,460.0533333333333
1995-01-06,1995,1,6,Friday,01,1995-01,460.38,462.49,459.47,460.68,308070000,460.68,0.00073857657512999,460.21,460.21
1995-01-09,1995,1,9,Monday,02,1995-02,460.67,461.77,459.74,460.83,278790000,460.83,0.00032559238271478996,460.334,460.334
1995-01-10,1995,1,10,Tuesday,02,1995-02,460.9,464.59,460.9,461.68,352450000,461.68,0.001844511269412319,460.55833333333334,460.55833333333334
1995-01-11,1995,1,11,Wednesday,02,1995-02,461.68,463.61,458.65,461.66,346310000,461.66,-4.329625279198002e-05,460.7157142857142,460.7157142857142
1995-01-12,1995,1,12,Thursday,02,1995-02,461.64,461.93,460.63,461.64,313040000,461.64,-4.3298127438640144e-05,460.83124999999995,460.83124999999995
1995-01-13,1995,1,13,Friday,02,1995-02,461.64,466.43,461.64,465.97,336740000,465.97,0.009379573769321414,461.40222222222224,461.40222222222224
1995-01-16,1995,1,16,Monday,03,1995-03,465.97,470.39,465.97,469.38,315810000,469.38,0.007318075526699497,462.2,462.2
1995-01-17,1995,1,17,Tuesday,03,1995-03,469.38,470.15,468.19,470.05,331520000,470.05,0.0014273784634766251,462.9136363636364,462.9136363636364
1995-01-18,1995,1,18,Wednesday,03,1995-03,470.05,470.43,468.03,469.71,344660000,469.71,-0.0007233195334969134,463.48,463.48
1995-01-19,1995,1,19,Thursday,03,1995-03,469.72,469.72,466.4,466.95,297220000,466.95,-0.005875921948130025,463.74692307692305,463.74692307692305
1995-01-20,1995,1,20,Friday,03,1995-03,466.95,466.99,463.99,464.78,378190000,464.78,-0.004647207133538389,463.82071428571425,463.82071428571425
1995-01-23,1995,1,23,Monday,04,1995-04,464.78,466.23,461.14,465.82,325830000,465.82,0.002237636188418879,464.3,463.95399999999995
1995-01-24,1995,1,24,Tuesday,04,1995-04,465.81,466.88,465.47,465.86,315430000,465.86,8.582290737879639e-05,464.6678571428571,464.07312499999995
1995-01-25,1995,1,25,Wednesday,04,1995-04,465.86,469.51,464.4,467.44,342610000,467.44,0.0033916136597380575,465.1749999999999,464.27117647058816
1995-01-26,1995,1,26,Thursday,04,1995-04,467.44,468.62,466.9,468.32,304730000,468.32,0.001882604993616921,465.72071428571417,464.496111111111
1995-01-27,1995,1,27,Friday,04,1995-04,468.32,471.36,468.32,470.39,339510000,470.39,0.004420070233697393,466.40357142857135,464.80631578947356
1995-01-30,1995,1,30,Monday,05,1995-05,470.39,470.52,467.49,468.51,318550000,468.51,-0.003996693858855815,466.8914285714285,464.9914999999999
1995-01-31,1995,1,31,Tuesday,05,1995-05,468.51,471.03,468.18,470.42,411590000,470.42,0.004076761696222508,467.5171428571428,465.2499999999999
1995-02-01,1995,2,1,Wednesday,05,1995-05,470.42,472.75,469.29,470.4,395310000,470.4,-4.2556716718156196e-05,468.142857142857,465.4840909090908
1995-02-02,1995,2,2,Thursday,05,1995-05,470.4,472.79,469.95,472.79,322110000,472.79,0.005080813519235283,468.6299999999998,465.8017391304347
1995-02-03,1995,2,3,Friday,05,1995-05,472.78,479.91,472.78,478.65,441000000,478.65,0.012394477983148189,469.29214285714266,466.3370833333333
1995-02-06,1995,2,6,Monday,06,1995-06,478.64,481.95,478.36,481.14,325660000,481.14,0.0052021744149266524,470.08428571428556,466.9291999999999
1995-02-07,1995,2,7,Tuesday,06,1995-06,481.14,481.32,479.69,480.81,314660000,480.81,-0.0006859065548412424,470.8771428571427,467.4630769230768
1995-02-08,1995,2,8,Wednesday,06,1995-06,480.81,482.6,480.4,481.19,318430000,481.19,0.0007903431391651505,471.89428571428556,467.9714814814814
1995-02-09,1995,2,9,Thursday,06,1995-06,481.19,482.0,479.91,480.19,325570000,480.19,-0.0020781811652909044,472.99499999999983,468.4078571428571
1995-02-10,1995,2,10,Friday,06,1995-06,480.19,481.96,479.53,481.46,295600000,481.46,0.0026447635461275265,474.1121428571427,468.85793103448265
1995-02-13,1995,2,13,Monday,07,1995-07,481.46,482.86,481.07,481.65,256270000,481.65,0.0003946380691612905,475.23999999999984,469.2843333333332
1995-02-14,1995,2,14,Tuesday,07,1995-07,481.65,482.94,480.89,482.55,300720000,482.55,0.0018685641189435387,476.3192857142856,469.712258064516
1995-02-15,1995,2,15,Wednesday,07,1995-07,482.55,485.54,481.77,484.54,378040000,484.54,0.004123968090963714,477.47785714285703,470.1756249999999
1995-02-16,1995,2,16,Thursday,07,1995-07,484.56,485.22,483.05,485.22,360990000,485.22,0.0014033777681707882,478.5371428571428,470.63151515151503
1995-02-17,1995,2,17,Friday,07,1995-07,485.15,485.22,481.97,481.97,347970000,481.97,-0.006697992646271245,479.4985714285713,470.96499999999986
1995-02-21,1995,2,21,Tuesday,08,1995-08,481.95,483.26,481.94,482.72,308090000,482.72,0.00155611344710338,480.37714285714276,471.300857142857
1995-02-22,1995,2,22,Wednesday,08,1995-08,482.74,486.15,482.45,485.07,339460000,485.07,0.004868259234282579,481.4249999999999,471.68333333333317
1995-02-23,1995,2,23,Thursday,08,1995-08,485.07,489.19,485.07,486.91,394280000,486.91,0.0037932593442346896,482.4335714285713,472.09486486486475
