Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
1995-01-03,1995,1,3,Tuesday,01,1995-01,751.31,751.31,743.53,743.58,248750000,743.58,0.0,743.58,743.58
1995-01-04,1995,1,4,Wednesday,01,1995-01,744.77,746.42,740.47,745.84,290350000,745.84,0.0030393632341949584,744.71,744.71
1995-01-05,1995,1,5,Thursday,01,1995-01,746.87,748.5,745.13,745.66,297510000,745.66,-0.00024141063023475073,745.0266666666666,745.0266666666666
1995-01-06,1995,1,6,Friday,01,1995-01,746.27,750.73,745.76,749.69,312920000,749.69,0.005404647482792901,746.1925,746.1925
1995-01-09,1995,1,9,Monday,02,1995-02,750.19,752.84,750.1,752.09,267090000,752.09,0.0032013557687133876,747.3720000000001,747.3720000000001
1995-01-10,1995,1,10,Tuesday,02,1995-02,754.27,759.22,754.27,756.52,353510000,756.52,0.005890242547562208,748.8966666666666,748.8966666666666
1995-01-11,1995,1,11,Wednesday,02,1995-02,758.14,760.05,751.7,755.74,329520000,755.74,-0.0010310755521820703,749.8742857142857,749.8742857142857
1995-01-12,1995,1,12,Thursday,02,1995-02,755.66,757.05,754.65,756.51,302230000,756.51,0.0010188947802156623,750.70375,750.70375
1995-01-13,1995,1,13,Friday,02,1995-02,758.36,762.32,757.28,762.16,313630000,762.16,0.007468458190866167,751.9766666666667,751.9766666666667
1995-01-16,1995,1,16,Monday,03,1995-03,762.3,769.13,762.19,768.16,301370000,768.16,0.00787236303586658,753.595,753.595
1995-01-17,1995,1,17,Tuesday,03,1995-03,769.17,772.16,768.4,772.14,337330000,772.14,0.005181266458877731,755.2809090909091,755.2809090909091
1995-01-18,1995,1,18,Wednesday,03,1995-03,773.01,774.31,769.18,772.38,348330000,772.38,0.0003108118085088929,756.7058333333333,756.7058333333333
1995-01-19,1995,1,19,Thursday,03,1995-03,772.34,772.34,768.32,768.55,331830000,768.55,-0.004958721180806425,757.616923076923,757.616923076923
1995-01-20,1995,1,20,Friday,03,1995-03,767.99,768.12,759.32,762.05,342170000,762.05,-0.008457485008445453,757.9335714285713,757.9335714285713
1995-01-23,1995,1,23,Monday,04,1995-04,759.32,759.58,753.81,759.51,276420000,759.51,-0.003333085844801298,759.0714285714284,758.0386666666666
1995-01-24,1995,1,24,Tuesday,04,1995-04,760.52,763.33,759.82,763.2,298330000,763.2,0.004858398696476529,760.3114285714285,758.3612499999999
1995-01-25,1995,1,25,Wednesday,04,1995-04,759.69,763.34,757.19,760.98,313100000,760.98,-0.0029088465707192146,761.4057142857142,758.5152941176469
1995-01-26,1995,1,26,Thursday,04,1995-04,761.05,762.32,757.56,757.56,295060000,757.56,-0.004494182498795296,761.9678571428569,758.4622222222221
1995-01-27,1995,1,27,Friday,04,1995-04,758.86,760.42,756.85,758.91,309380000,758.91,0.0017820048448811132,762.4549999999998,758.4857894736841
1995-01-30,1995,1,30,Monday,05,1995-05,759.63,760.57,751.49,751.83,259470000,751.83,-0.009329111891034692,762.1199999999998,758.1529999999999
1995-01-31,1995,1,31,Tuesday,05,1995-05,752.85,755.8,751.05,755.2,301430000,755.2,0.004482389689935529,762.0814285714284,758.0123809523809
1995-02-01,1995,2,1,Wednesday,05,1995-05,756.68,762.33,756.68,758.31,309930000,758.31,0.004118094943449169,762.2099999999998,758.0259090909091
1995-02-02,1995,2,2,Thursday,05,1995-05,758.16,763.66,758.16,763.64,294260000,763.64,0.007028810258342899,762.3157142857141,758.27
1995-02-03,1995,2,3,Friday,05,1995-05,766.51,773.94,766.51,772.06,379850000,772.06,0.011026115379813684,762.5942857142854,758.8445833333334
1995-02-06,1995,2,6,Monday,06,1995-06,772.82,779.11,772.82,778.85,298480000,778.85,0.008794624833322606,763.0735714285712,759.6447999999999
1995-02-07,1995,2,7,Tuesday,06,1995-06,779.79,780.93,776.97,778.97,320970000,778.97,0.00015406704878850874,763.5442857142855,760.3880769230769
1995-02-08,1995,2,8,Wednesday,06,1995-06,780.19,784.03,779.23,783.77,349420000,783.77,0.0061620460462581406,764.6314285714285,761.2540740740741
1995-02-09,1995,2,9,Thursday,06,1995-06,785.04,787.89,784.97,785.44,381420000,785.44,0.0021307052688173123,766.3021428571428,762.1178571428571
1995-02-10,1995,2,10,Friday,06,1995-06,786.41,790.82,786.41,790.43,359380000,790.43,0.006353114456692399,768.5107142857142,763.0941379310344
1995-02-13,1995,2,13,Monday,07,1995-07,789.7,792.09,788.72,789.42,300360000,789.42,-0.0012777978758192754,770.3835714285714,763.9716666666666
1995-02-14,1995,2,14,Tuesday,07,1995-07,790.14,791.5,788.67,790.62,345250000,790.62,0.001520118863228559,772.5007142857143,764.8312903225806
1995-02-15,1995,2,15,Wednesday,07,1995-07,790.76,795.63,789.74,795.63,382290000,795.63,0.006336811358891081,775.22,765.7937499999999
1995-02-16,1995,2,16,Thursday,07,1995-07,796.02,796.02,790.98,793.31,343990000,793.31,-0.0029159374457734533,777.6771428571428,766.6275757575758
1995-02-17,1995,2,17,Friday,07,1995-07,791.99,791.99,786.83,786.97,294510000,786.97,-0.00799186556955056,780.1871428571428,767.2258823529412
1995-02-21,1995,2,21,Tuesday,08,1995-08,787.73,788.25,784.15,784.62,272620000,784.62,-0.002986105789828164,782.2885714285713,767.7228571428572
1995-02-22,1995,2,22,Wednesday,08,1995-08,783.96,788.26,783.51,787.93,302200000,787.93,0.0042185995503458695,784.4042857142857,768.2841666666667
1995-02-23,1995,2,23,Thursday,08,1995-08,789.26,794.5,789.26,791.35,356980000,791.35,0.00434046544990907,786.3835714285715,768.9075675675675
1995-02-24,1995,2,24,Friday,08,1995-08,790.8,791.8,787.12,791.08,318540000,791.08,-0.0003411366707806174,787.742142857143,769.4910526315789
1995-02-27,1995,2,27,Monday,09,1995-09,789.55,790.81,783.73,784.5,272260000,784.5,-0.008317764256073334,788.1457142857143,769.8758974358974
1995-02-28,1995,2,28,Tuesday,09,1995-09,785.53,794.01,784.72,793.73,323350000,793.73,0.011765430807839428,789.2,770.47225
1995-03-01,1995,3,1,Wednesday,09,1995-09,794.33,795.29,791.87,791.87,336510000,791.87,-0.002343347734533152,789.7785714285716,770.9941463414634
1995-03-02,1995,3,2,Thursday,09,1995-09,792.4,793.69,790.72,793.68,297340000,793.68,0.0022857256491022326,790.367142857143,771.5342857142857
1995-03-03,1995,3,3,Friday,09,1995-09,793.21,798.8,792.23,798.79,313590000,798.79,0.006438344671301222,790.9642857142857,772.1681395348836
1995-03-06,1995,3,6,Monday,10,1995-10,796.53,797.79,791.7,797.77,265110000,797.77,-0.001276879435333722,791.5607142857143,772.7499999999999
1995-03-07,1995,3,7,Tuesday,10,1995-10,797.87,798.31,790.35,791.33,336760000,791.33,-0.00807250496225742,791.6114285714285,773.1628888888888
1995-03-08,1995,3,8,Wednesday,10,1995-10,793.05,795.81,791.51,795.81,313150000,795.81,0.005661330130285469,791.6242857142857,773.6552173913042
1995-03-09,1995,3,9,Thursday,10,1995-10,796.48,797.93,793.32,796.24,319470000,796.24,0.0005403207764420603,791.8335714285714,774.1357446808508
1995-03-10,1995,3,10,Friday,10,1995-10,795.96,802.22,795.78,802.22,330320000,802.22,0.00751027396525239,792.9228571428572,774.7208333333332
1995-03-13,1995,3,13,Monday,11,1995-11,802.22,804.62,801.37,802.31,281070000,802.31,0.00011222215696005122,794.1864285714285,775.2838775510202
1995-03-14,1995,3,14,Tuesday,11,1995-11,804.46,809.18,804.46,808.24,347170000,808.24,0.007391148924762225,795.6371428571427,775.9429999999998
1995-03-15,1995,3,15,Wednesday,11,1995-11,807.98,808.69,804.84,807.38,335510000,807.38,-0.0010640222730294857,796.7821428571426,777.2189999999996
1995-03-16,1995,3,16,Thursday,11,1995-11,807.18,809.59,806.8,809.34,340150000,809.34,0.0024276325408141286,798.0864285714284,778.4889999999997
1995-03-17,1995,3,17,Friday,11,1995-11,811.03,811.23,807.34,808.33,315350000,808.33,-0.0012479424371845127,799.7885714285712,779.7423999999996
1995-03-20,1995,3,20,Monday,12,1995-12,808.35,810.66,807.4,810.49,277410000,810.49,0.0026721426878437704,800.9857142857142,780.9583999999995
1995-03-21,1995,3,21,Tuesday,12,1995-12,811.06,814.21,808.88,809.78,336150000,809.78,-0.0008759650903210625,802.2649999999998,782.1121999999996
1995-03-22,1995,3,22,Wednesday,12,1995-12,808.65,809.43,806.7,809.1,315140000,809.1,-0.0008398005462396663,803.3664285714284,783.1637999999996
1995-03-23,1995,3,23,Thursday,12,1995-12,809.3,813.33,808.9,811.39,350790000,811.39,0.002830353641824823,804.2664285714283,784.2767999999996
1995-03-24,1995,3,24,Friday,12,1995-12,812.96,818.67,812.87,818.66,402890000,818.66,0.008959881641190437,805.7585714285711,785.5197999999997
1995-03-27,1995,3,27,Monday,13,1995-13,817.88,822.66,817.29,822.63,315230000,822.63,0.004849426951988534,807.9942857142853,786.7291999999995
1995-03-28,1995,3,28,Tuesday,13,1995-13,822.91,826.17,821.57,826.14,350240000,826.14,0.0042668146612583335,810.1607142857139,787.8887999999995
1995-03-29,1995,3,29,Wednesday,13,1995-13,826.1,829.92,817.24,819.16,410380000,819.16,-0.008448981262427546,811.7978571428567,788.8291999999996
1995-03-30,1995,3,30,Thursday,13,1995-13,820.65,822.24,811.23,816.86,363320000,816.86,-0.0028077394750377627,812.8435714285712,789.7187999999996
1995-03-31,1995,3,31,Friday,13,1995-13,813.24,817.23,806.5,817.21,347850000,817.21,0.0004285148340852363,813.907857142857,790.6919999999996
1995-04-03,1995,4,3,Monday,14,1995-14,816.06,818.28,812.25,818.05,273920000,818.05,0.001027845716190523,814.6085714285712,791.8119999999996
1995-04-04,1995,4,4,Tuesday,14,1995-14,817.06,820.48,813.58,813.72,365640000,813.72,-0.005293095965352657,815.0614285714283,792.8961999999996
1995-04-05,1995,4,5,Wednesday,14,1995-14,813.68,816.32,810.89,816.32,348890000,816.32,0.0031952474004626197,815.5599999999997,793.9585999999996
1995-04-06,1995,4,6,Thursday,14,1995-14,816.93,818.16,813.52,813.8,348320000,813.8,-0.003087048594472508,815.950714285714,795.0149999999995
1995-04-07,1995,4,7,Friday,14,1995-14,814.84,816.19,811.56,814.69,331460000,814.69,0.0010936528161560322,816.250714285714,796.1575999999997
1995-04-10,1995,4,10,Monday,15,1995-15,814.44,821.36,813.9,821.26,300920000,821.26,0.008064426106286104,817.070714285714,797.4045999999996
1995-04-11,1995,4,11,Tuesday,15,1995-15,824.12,825.74,821.69,824.83,355650000,824.83,0.0043469878987989485,818.1942857142855,798.8645999999997
1995-04-12,1995,4,12,Wednesday,15,1995-15,825.49,828.56,823.69,828.53,345180000,828.53,0.004485787532424679,819.4185714285712,800.3311999999996
1995-04-13,1995,4,13,Thursday,15,1995-15,829.06,832.9,828.86,832.64,359830000,832.64,0.004960575001790035,820.4171428571426,801.8177999999997
