Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
1995-01-03,1995,1,3,Tuesday,01,1995-01,250.36,250.36,247.03,247.24,2624500,247.24,0.0,247.24,247.24
1995-01-04,1995,1,4,Wednesday,01,1995-01,247.24,247.83,246.61,247.65,3195100,247.65,0.0016582607758097723,247.445,247.445
1995-01-05,1995,1,5,Thursday,01,1995-01,247.65,247.85,247.41,247.46,3090500,247.46,-0.000767160053703031,247.45000000000002,247.45000000000002
1995-01-06,1995,1,6,Friday,01,1995-01,247.46,248.49,247.38,248.08,3080800,248.08,0.0025054356274401,247.60750000000002,247.60750000000002
1995-01-09,1995,1,9,Monday,02,1995-02,248.08,248.7,248.05,248.37,2787900,248.37,0.0011689506771703773,247.76000000000005,247.76000000000005
1995-01-10,1995,1,10,Tuesday,02,1995-02,248.38,249.6,248.37,248.98,3524500,248.98,0.002456015711816306,247.96333333333337,247.96333333333337
1995-01-11,1995,1,11,Wednesday,02,1995-02,248.98,249.4,247.35,248.16,3463100,248.16,-0.003293405412083783,247.9914285714286,247.9914285714286
1995-01-12,1995,1,12,Thursday,02,1995-02,248.16,248.31,247.64,248.27,3130400,248.27,0.0004432648643144521,248.02625000000003,248.02625000000003
1995-01-13,1995,1,13,Friday,02,1995-02,248.27,250.0,248.27,249.95,3367100,249.95,0.006766796821486176,248.24000000000004,248.24000000000004
1995-01-16,1995,1,16,Monday,03,1995-03,249.95,251.74,249.95,251.72,3158100,251.72,0.007081433462979625,248.58800000000002,248.58800000000002
1995-01-17,1995,1,17,Tuesday,03,1995-03,251.72,252.92,251.66,252.92,3334100,252.92,0.004767189505890945,248.9818181818182,248.9818181818182
1995-01-18,1995,1,18,Wednesday,03,1995-03,252.92,253.13,251.81,252.31,3446600,252.31,-0.002411832258294111,249.2591666666667,249.2591666666667
1995-01-19,1995,1,19,Thursday,03,1995-03,252.31,252.37,250.88,251.01,2972200,251.01,-0.005152404043981318,249.39384615384614,249.39384615384614
1995-01-20,1995,1,20,Friday,03,1995-03,251.01,251.02,248.89,249.64,3781900,249.64,-0.005457930549256251,249.41142857142856,249.41142857142856
1995-01-23,1995,1,23,Monday,04,1995-04,249.64,249.64,247.08,248.07,3258300,248.07,-0.006289024472312943,249.4707142857143,249.322
1995-01-24,1995,1,24,Tuesday,04,1995-04,248.07,248.96,248.07,248.94,3154300,248.94,0.0035070548292863712,249.56285714285715,249.298125
1995-01-25,1995,1,25,Wednesday,04,1995-04,248.94,249.09,247.98,248.8,3426100,248.8,-0.000562382053006516,249.65857142857143,249.26882352941175
