Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
1995-01-03,1995,1,3,Tuesday,01,1995-01,14.09,14.71,13.39,14.25,0,14.25,0.0,14.25,14.25
1995-01-04,1995,1,4,Wednesday,01,1995-01,13.87,14.15,13.53,13.53,0,13.53,-0.050526334528337435,13.89,13.89
1995-01-05,1995,1,5,Thursday,01,1995-01,13.7,14.19,13.37,13.5,0,13.5,-0.0022172752079281377,13.76,13.76
1995-01-06,1995,1,6,Friday,01,1995-01,13.67,13.76,12.79,13.13,0,13.13,-0.027407398930302418,13.602500000000001,13.602500000000001
1995-01-09,1995,1,9,Monday,02,1995-02,13.53,14.08,13.21,13.33,0,13.33,0.015232277800604876,13.548000000000002,13.548000000000002
1995-01-10,1995,1,10,Tuesday,02,1995-02,12.49,13.25,11.97,12.52,0,12.52,-0.060765151581275045,13.376666666666667,13.376666666666667
1995-01-11,1995,1,11,Wednesday,02,1995-02,12.03,13.13,11.95,12.15,0,12.15,-0.02955278160584729,13.201428571428574,13.201428571428574
1995-01-12,1995,1,12,Thursday,02,1995-02,12.74,13.56,12.64,12.83,0,12.83,0.05596710506383018,13.155000000000001,13.155000000000001
1995-01-13,1995,1,13,Friday,02,1995-02,11.46,11.86,11.02,11.1,0,11.1,-0.13484018336117054,12.926666666666668,12.926666666666668
1995-01-16,1995,1,16,Monday,03,1995-03,11.45,11.53,11.06,11.14,0,11.14,0.0036036000430956783,12.748000000000001,12.748000000000001
1995-01-17,1995,1,17,Tuesday,03,1995-03,12.45,12.48,11.61,11.79,0,11.79,0.05834825839299729,12.660909090909092,12.660909090909092
1995-01-18,1995,1,18,Wednesday,03,1995-03,11.24,11.9,11.21,11.57,0,11.57,-0.018659903964429847,12.57,12.57
1995-01-19,1995,1,19,Thursday,03,1995-03,12.08,12.34,11.52,11.86,0,11.86,0.025064820181694314,12.515384615384615,12.515384615384615
1995-01-20,1995,1,20,Friday,03,1995-03,12.08,12.48,12.0,12.15,0,12.15,0.024451936783131067,12.489285714285714,12.489285714285714
1995-01-23,1995,1,23,Monday,04,1995-04,13.89,13.89,12.78,12.79,0,12.79,0.05267492703017651,12.385,12.509333333333332
1995-01-24,1995,1,24,Tuesday,04,1995-04,12.13,12.51,11.84,11.94,0,11.94,-0.06645820046950002,12.27142857142857,12.473749999999999
1995-01-25,1995,1,25,Wednesday,04,1995-04,11.94,12.26,11.17,11.46,0,11.46,-0.04020096809927354,12.125714285714285,12.414117647058823
1995-01-26,1995,1,26,Thursday,04,1995-04,10.9,11.52,10.89,11.25,0,11.25,-0.01832461059755186,11.991428571428571,12.349444444444444
1995-01-27,1995,1,27,Friday,04,1995-04,10.77,11.41,10.76,11.25,0,11.25,0.0,11.842857142857142,12.291578947368421
1995-01-30,1995,1,30,Monday,05,1995-05,11.63,12.67,11.43,12.26,0,12.26,0.08977779812282982,11.824285714285711,12.29
1995-01-31,1995,1,31,Tuesday,05,1995-05,12.12,12.25,11.77,11.96,0,11.96,-0.02446983565531502,11.810714285714283,12.274285714285714
1995-02-01,1995,2,1,Wednesday,05,1995-05,11.74,11.95,11.53,11.73,0,11.73,-0.01923081063353238,11.732142857142852,12.249545454545455
1995-02-02,1995,2,2,Thursday,05,1995-05,11.59,11.63,11.09,11.13,0,11.13,-0.05115084835553374,11.73428571428571,12.200869565217392
